week,SK_2022,SK_2023,SK_2024,RO_2022,RO_2023,RO_2024,HU_2022,HU_2023,HU_2024,PL_2022,PL_2023,PL_2024,EU_2022,EU_2023,EU_2024
1,0,45,0,0,0,0,0,26,5,0,18,0,0,89,5
2,6,47,0,0,0,0,0,19,0,0,17,0,6,83,0
3,3,56,0,0,0,0,0,11,0,0,17,0,3,83,0
4,6,57,0,0,0,0,0,4,1,0,18,0,6,78,1
5,31,40,0,0,13,0,25,8,3,0,14,0,56,75,3
6,35,33,0,0,22,0,34,19,7,0,12,0,69,86,7
7,35,33,0,0,11,0,33,31,7,0,13,0,68,88,7
8,34,34,0,0,0,0,14,30,11,0,12,0,47,76,11
9,20,27,0,0,0,0,22,42,28,0,13,0,42,83,28
10,19,24,0,0,0,0,29,52,40,0,18,0,47,94,40
11,19,24,0,0,0,0,29,52,47,0,15,0,48,91,47
12,19,24,0,0,0,0,31,50,33,0,22,0,50,96,33
13,11,18,0,0,0,0,18,37,39,0,18,0,29,72,39
14,0,0,0,0,0,0,0,5,20,0,6,0,0,11,20
15,0,0,0,0,0,0,2,5,12,0,6,0,2,11,12
16,0,0,0,0,0,0,1,4,7,0,8,0,1,11,7
17,0,0,0,0,0,0,0,7,17,0,7,0,0,14,17
18,0,0,0,0,0,0,1,2,25,1,0,0,2,3,25
19,0,0,0,0,0,0,0,2,33,5,1,0,5,3,33
20,0,0,0,0,0,0,0,3,34,4,2,0,4,5,34
21,0,0,0,0,0,0,0,3,38,10,1,0,10,4,38
22,0,0,0,0,0,0,0,0,46,15,1,0,15,1,46
23,0,0,0,0,0,0,0,3,30,15,0,0,15,3,30
24,0,0,0,0,11,0,0,11,54,9,1,0,9,23,54
25,0,0,0,0,13,0,0,26,55,8,1,0,8,40,55
26,2,0,0,0,18,0,0,38,59,9,6,0,11,62,59
27,4,0,0,0,28,3,0,52,42,11,15,0,15,96,45
28,4,0,0,0,28,3,0,54,53,17,23,0,21,105,56
29,4,0,0,0,29,3,0,51,51,25,30,0,29,110,54
30,4,0,0,0,28,3,1,55,57,21,27,0,25,110,60
31,8,106,0,0,36,3,2,53,44,18,28,0,28,224,47
32,8,120,0,0,38,3,11,50,37,15,16,0,34,224,40
33,8,151,0,0,38,0,15,51,25,15,24,0,38,264,25
34,8,126,0,0,38,2,17,48,27,14,24,0,40,236,29
35,4,105,0,0,28,3,2,53,28,8,27,0,13,213,31
36,0,97,0,0,27,1,0,56,57,4,31,0,4,210,58
37,0,113,0,0,31,0,2,49,59,3,29,0,5,222,59
38,0,111,0,0,37,0,2,46,58,3,27,0,5,220,58
39,0,95,0,0,42,0,1,39,59,4,18,0,5,194,59
40,0,20,10,0,17,0,4,52,68,15,24,0,19,112,78
41,0,5,12,0,17,0,8,46,70,23,8,0,31,77,82
42,12,0,12,0,20,0,7,41,67,32,2,0,52,63,79
43,48,0,8,0,23,0,9,37,61,46,1,0,103,61,70
44,60,0,4,0,7,0,10,39,50,24,3,0,94,48,54
45,33,0,0,0,0,0,2,5,56,8,0,0,43,5,56
46,2,0,0,0,0,0,3,0,54,0,0,0,5,0,54
47,0,0,0,0,0,0,7,0,60,0,0,0,7,0,60
48,0,0,,16,0,,21,0,,0,0,,37,0,
49,0,0,,20,0,,37,1,,0,0,,57,1,
50,0,0,,21,0,,41,1,,0,0,,62,1,
51,0,0,,23,0,,18,1,,1,0,,41,1,
52,6,0,,18,0,,19,6,,3,0,,46,6,
53,,,,,,,,,,,,,,,
